"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-10",,,"546.6","7","0.0",",7","16",",7","8",",7","0",",7","0",",7","0",",7","2",",7","0",",7","3",",7","0",",7","-2.8",",7,31,","0",",,7,31,+","0.0",",,7,31,+","46.2",",,7,30,","22.8",",7,16,","236.7","7","187.9",",7","114.5",",,,7",,,"0",",,,7","12.3",",7","17.2",",,,7","7.3",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-11",,,"546.6","7","0.0",",7","8",",7","8",",7","0",",7","0",",7","0",",7","11",",7","0",",7","5",",7","0",",7","-5.6",",7,20,+","0",",,7,30,+","0.0",",T,7,18,","20.3",",,7,12,","24.4",",7,10,","544.1","7","307.4",",7","82.3",",,,7",,,"0",",T,,7","8.1",",7","13.9",",,,7","2.3",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-12",,,"546.6","7","0.0",",7","10",",7","7",",7","7",",7","1",",7","0",",7","24",",7","5",",7","0",",7","0",",7","-12.2",",7,20,","152",",,7,17,","152.0",",,7,17,","75.2",",,7,01,","17.8",",7,01,","1059.9","7","515.8",",7","173.0",",,,7",,,"167",",,,7","1.7",",7","5.8",",,,7","-2.4",",,,7",,,,,,,,,,
"US1NJMD0086","HIGHLAND PARK 0.4 N, NJ US","40.50542","-74.42978","14.9","2018-11",,,,,,,"9","2,N","8","2,N",,,,,,,,,,,,,,,,,,,,,"49.8","2,,N,25,",,,,,,,"166.6","2,,,N",,,,,,,,,,,,,,,,,,,,
"US1NJMD0086","HIGHLAND PARK 0.4 N, NJ US","40.50542","-74.42978","14.9","2018-12",,,,,,,"12","2,N","9","2,N",,,,,,,,,,,,,,,,,,,,,"29.2","2,,N,21,",,,,,,,"125.4","2,,,N",,,,,,,,,,,,,,,,,,,,
"US1NJMD0086","HIGHLAND PARK 0.4 N, NJ US","40.50542","-74.42978","14.9","2019-01",,,,,,,"13","1,N","9","1,N",,,,,,,,,,,,,,,,,,,,,"37.1","1,,N,20,",,,,,,,"122.7","1,,,N",,,,,,,,,,,,,,,,,,,,
"US1NJMD0086","HIGHLAND PARK 0.4 N, NJ US","40.50542","-74.42978","14.9","2019-02",,,,,,,"10","1,N","7","1,N",,,,,,,,,,,,,,,,,,,,,"21.1","1,,N,13,",,,,,,,"79.5","1,,,N",,,,,,,,,,,,,,,,,,,,
"US1NJMD0086","HIGHLAND PARK 0.4 N, NJ US","40.50542","-74.42978","14.9","2019-03",,,,,,,"9","3,N","5","3,N",,,,,,,,,,,,,,,,,,,,,"20.8","3,,N,04,",,,,,,,"103.6","1,a,,N",,,,,,,,,,,,,,,,,,,,
"US1NJMD0086","HIGHLAND PARK 0.4 N, NJ US","40.50542","-74.42978","14.9","2019-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132.0","5,a,,N",,,,,,,,,,,,,,,,,,,,
"US1NJMD0086","HIGHLAND PARK 0.4 N, NJ US","40.50542","-74.42978","14.9","2019-07",,,,,,,"9","2,N","7","2,N",,,,,,,,,,,,,,,,,,,,,"70.1","2,,N,23,",,,,,,,"184.2","2,,,N",,,,,,,,,,,,,,,,,,,,
"US1NJMD0086","HIGHLAND PARK 0.4 N, NJ US","40.50542","-74.42978","14.9","2019-08",,,,,,,"8","5,N","3","5,N",,,,,,,,,,,,,,,,,,,,,"71.9","5,,N,08,",,,,,,,"103.8","2,a,,N",,,,,,,,,,,,,,,,,,,,
"US1NJMD0086","HIGHLAND PARK 0.4 N, NJ US","40.50542","-74.42978","14.9","2019-09",,,,,,,"6","3,N","4","3,N",,,,,,,,,,,,,,,,,,,,,"12.4","3,,N,03,",,,,,,,"27.6","3,,,N",,,,,,,,,,,,,,,,,,,,
"US1NJMD0086","HIGHLAND PARK 0.4 N, NJ US","40.50542","-74.42978","14.9","2019-11",,,,,,,"7","3,N","5","3,N",,,,,,,,,,,,,,,,,,,,,"13.7","3,,N,24,",,,,,,,"40.8","3,,,N",,,,,,,,,,,,,,,,,,,,
"US1NJMD0086","HIGHLAND PARK 0.4 N, NJ US","40.50542","-74.42978","14.9","2019-12",,,,,,,"11","2,N","10","2,N",,,,,,,,,,,,,,,,,,,,,"30.0","2,,N,10,",,,,,,,"155.8","2,,,N",,,,,,,,,,,,,,,,,,,,
"US1NJMD0086","HIGHLAND PARK 0.4 N, NJ US","40.50542","-74.42978","14.9","2020-01",,,,,,,"9","1,N","3","1,N",,,,,,,,,,,,,,,,,,,,,"28.2","1,,N,26,",,,,,,,"47.8","1,,,N",,,,,,,,,,,,,,,,,,,,
"US1NJMD0086","HIGHLAND PARK 0.4 N, NJ US","40.50542","-74.42978","14.9","2020-02",,,,,,,"15","5,N","8","5,N",,,,,,,,,,,,,,,,,,,,,"15.5","5,,N,11,",,,,,,,"65.9","3,a,,N",,,,,,,,,,,,,,,,,,,,
"US1NJMD0086","HIGHLAND PARK 0.4 N, NJ US","40.50542","-74.42978","14.9","2020-03",,,,,,,"15",",N","9",",N",,,,,,,,,,,,,,,,,,,,,"29.5",",,N,19,",,,,,,,"103.7",",,,N",,,,,,,,,,,,,,,,,,,,
"US1NJMD0086","HIGHLAND PARK 0.4 N, NJ US","40.50542","-74.42978","14.9","2020-04",,,,,,,"14",",N","9",",N",,,,,,,,,,,,,,,,,,,,,"30.0",",,N,14,",,,,,,,"97.1",",,,N",,,,,,,,,,,,,,,,,,,,
